文本,一级,二级,二级1,二级对应三级
,传统媒体,"平面媒体, 广播电视媒体, 户外媒体",平面媒体,"国家级报纸, 省级报纸, 市级报纸, 其他"
,新媒体,"社交媒体, 内容平台, 短视频平台, 直播平台, 搜索/信息流渠道",广播电视媒体,"省级媒体, 国家级媒体, 市级媒体, 其他"
,体验媒体,"线下活动, 快闪/展陈空间, 场景互动媒体",户外媒体,
,内部媒体,"企业内刊/简报, 内部社交平台, 雇主品牌传播渠道",社交媒体,"微博, 小红书, 抖音, bilibili, 微信视频号, 快手, 大众点评, 美团, 朋友圈"
,,,内容平台,"微博, 小红书, 抖音, bilibili, 微信视频号, 微信公众号, 知乎, 快手, 今日头条, 大众点评, 美团, 朋友圈, 品牌官方媒体, 淘宝、唯品会、京东等电商平台"
,,,短视频平台,"抖音, 微信视频号, 快手, bilibili"
,,,直播平台,"淘宝直播, 抖音直播, 微信小程序直播"
,,,搜索/信息流渠道,"百度, 搜狐, 谷歌, 广告投放"
,,,线下活动,"新闻发布会, 论坛/峰会, 参观游览"
,,,快闪/展陈空间,品牌快闪
,,,场景互动媒体,AR体验
,,,企业内刊/简报,
,,,内部社交平台,"企业微信, 飞书社区, 钉钉社区"
,,,雇主品牌传播渠道,"招聘网站, 校园宣讲"
